# Tranco list_id V3JQN, created_on 2026-08-01T22:00:02Z, 30-day dowdall over crux+farsight+majestic+radar+umbrella
# source: https://tranco-list.eu/download/V3JQN/1000000  (sha256 of the fetched CSV recorded in docs/step0c-hb-ru-market-study-2026-08-18.md)
# RULE: every registrable domain in the top 50000 whose TLD is .ru / .su / .xn--p1ai. Nothing hand-picked, nothing removed.
# This is the UNIVERSE, not the frame. The frame is this file filtered by the probe in the same doc; both the kept and the dropped are published.
rank	domain
23883	flavii.ru
23934	xsph.ru
23935	clientbase.ru
23948	soloway.ru
23990	rosreestr.ru
23995	mediatoday.ru
24000	vtbbo.ru
24022	otclick-adv.ru
24032	truenetwork.ru
24055	glavbukh.ru
24060	iptvportal.ru
24096	yanao.ru
24097	whiteboxdigital.ru
24161	handyhost.ru
24197	monetka.ru
24200	tmn-obl.ru
24264	gals-telecom.ru
24306	bizkub.ru
24322	mirtv.ru
24334	me-talk.ru
24348	rin.ru
24363	euroauto.ru
24370	moy.su
24394	catsnetwork.ru
24398	travelata.ru
24411	proza.ru
24422	fips.ru
24426	interros.ru
24438	rtcloud.ru
24457	t-j.ru
24498	di-net.ru
24505	211.ru
24522	gdz-raketa.ru
24599	gdebenz.ru
24605	expert.ru
24645	kupibilet.ru
24647	lanit.ru
24664	directcrm.ru
24686	mediadash.ru
24744	vpn48.ru
24785	21-school.ru
24854	mironline.ru
24872	nevosoft.ru
24885	showjet.ru
24921	habrahabr.ru
24957	rgo.ru
24982	karelia.ru
25001	ecopsy.ru
25107	subscribe.ru
25123	itgroup69.ru
25136	webstroy.ru
25145	tvzavr.ru
25148	guu.ru
25161	mybook.ru
25165	q11.ru
25175	secget.ru
25202	baltbet.ru
25211	statmedia.ru
25226	dostavista.ru
25315	cap.ru
25328	efsystem.ru
25339	hsdrn.ru
25376	km.ru
25390	pecom.ru
25489	nloto.ru
25502	tricolor.ru
25514	rosbalt.ru
25622	tpu.ru
25629	rosseti.ru
25635	rosmintrud.ru
25704	nnov.ru
25723	1gt.ru
25744	itmo.ru
25762	bashkortostan.ru
25767	webmoney.ru
25781	thevoicemag.ru
25807	autotrade.su
25819	mirea.ru
25822	runnet.ru
25831	ranepa.ru
25832	hostiman.ru
25835	drive-data.ru
25847	goodoo.ru
25851	megapteka.ru
25912	samoletgroup.ru
25913	vbrr.ru
25950	molbiol.ru
25960	cmbank.ru
25962	fonmix.ru
25985	rutubelist.ru
26010	utkacraft.ru
26015	borda.ru
26047	nmgdev.ru
26063	cyberok.ru
26068	mipt.ru
26092	ofd-initpro.ru
26107	nodacdn.ru
26108	red-soft.ru
26127	rustest.ru
26146	sostav.ru
26216	rt-solar.ru
26220	doctorrb.ru
26270	bzsn.ru
26279	hwfs.ru
26296	it-outsrc.ru
26309	urentbike.ru
26332	broker.ru
26357	mai.ru
26361	agency2.ru
26421	exist.ru
26441	hostak.ru
26450	nn.ru
26463	smsc.ru
26489	gilasopoll.ru
26554	vitrinabeat.ru
26583	arcticspg.ru
26606	tlintegration.ru
26612	sibirasabbi.ru
26636	ezizgulmyratmix.ru
26655	guns.ru
26659	reddock.ru
26709	nskes.ru
26730	tunnely.ru
26766	love.ru
26778	gametech-app.ru
26794	dom.ru
26799	m24.ru
26825	gravitel.ru
26828	cn.ru
26867	dp.ru
26872	pilagaww.ru
26902	izvestia.ru
26906	wavesend.ru
26909	spbstu.ru
26919	vstation.ru
26928	axelname.ru
26954	zetsource.su
26957	mokka.ru
27037	directadvert.ru
27040	re-store.ru
27057	billing.ru
27071	snob.ru
27167	technomoscow.ru
27173	1001tur.ru
27175	amgradio.ru
27181	relines.ru
27189	corbina.ru
27206	tripster.ru
27214	etherstress.su
27224	fsk-ees.ru
27226	pnp.ru
27260	it-is.ru
27283	mm.ru
27312	usedesk.ru
27313	mosline.ru
27332	ellcom.ru
27442	dobro.ru
27448	mmk.ru
27451	vkusnoitochka.ru
27477	ntvshara.ru
27491	krista.ru
27513	omgcloud.ru
27517	i-trailer.ru
27543	skwstat.ru
27559	megasoft.ru
27675	tvzvezda.ru
27687	stpulscen.ru
27701	tadviser.ru
27703	t21v.ru
27704	hotlog.ru
27706	abvpn.ru
27708	domains.ru
27751	imageban.ru
27764	lancloud.ru
27783	goha.ru
27794	eyekraft.ru
27807	postgrespro.ru
27810	gbooking.ru
27860	fa.ru
27898	halvacard.ru
27902	metro-cc.ru
27961	minjust.ru
27969	bmstu.ru
28001	hoff.ru
28004	sbermarketing.ru
28041	trcont.ru
28065	baz-on.ru
28107	rtk-service.ru
28139	givc.ru
28164	napopravku.ru
28205	ipserver.su
28210	njcar.ru
28215	escapefromtarkov.ru
28268	transneft.ru
28316	ptsecurity.ru
28347	neftm.ru
28361	sps-holding.ru
28398	baikalsr.ru
28408	sberbank-service.ru
28415	starhit.ru
28439	mobile-api.ru
28473	tochkak.ru
28495	pamyat-naroda.ru
28515	pink-service.ru
28539	katren.ru
28541	dapl.ru
28594	rufox.ru
28598	udmvt.ru
28688	helix.ru
28719	libreview.ru
28728	toyohara.ru
28734	platformaofd.ru
28750	homecredit.ru
28756	netraidly.ru
28759	novmedtech.ru
28793	xn--d1aqf.xn--p1ai
28801	uralsibbank.ru
28823	autodoc.ru
28827	yavitrina.ru
28879	fsvps.ru
28885	part-kom.ru
28911	bsuedu.ru
28933	enplus.ru
28945	1prime.ru
28952	sobaka.ru
28954	pravoslavie.ru
28958	crystals.ru
28961	grandtrain.ru
28969	1c-edo.ru
29017	interfax-russia.ru
29031	slcloud.ru
29073	stratum1.ru
29074	mirniy-sp.ru
29101	dengisrazy.ru
29141	auto-vision.ru
29149	deckhouse.ru
29182	suek.ru
29244	ccsteam.ru
29295	vokrugsveta.ru
29296	theins.ru
29298	svpressa.ru
29311	irk.ru
29373	gipsyteam.ru
29386	ofd.ru
29414	vitaexpress.ru
29431	mrsk-1.ru
29495	qui-quo.ru
29541	coldbookfly.ru
29666	vip-site1.ru
29694	tattelecom.ru
29707	euro-football.ru
29728	metro-set.ru
29766	tetrika-school.ru
29781	nsi.ru
29788	avtograd.ru
29823	php-myadmin.ru
29866	orb.ru
29874	securitylab.ru
29925	utair.ru
29932	sogaz.ru
29979	mysmartflat.ru
29999	ascon.ru
30006	customs.ru
30025	merlion.ru
30032	pepper.ru
30107	mt.ru
30116	fortex.ru
30129	freilassing.ru
30197	sparrow.ru
30245	avantel.ru
30327	obit.ru
30361	mgts-spdop.ru
30367	astralinux.ru
30403	ssau.ru
30408	sampo.ru
30435	pbservers.ru
30456	yapfiles.ru
30466	multifactor.ru
30525	rfc-revizor.ru
30533	uspu.ru
30543	xn--90aivcdt6dxbc.xn--p1ai
